token,symbol,expiry,freeze_qty,is_cas_enabled
65158,NIFTY04AUG2621650CE,04AUG2026,1801,False
65202,NIFTY04AUG2621800CE,04AUG2026,1801,False
65414,NIFTY04AUG2622100PE,04AUG2026,1801,False
65447,NIFTY04AUG2622800CE,04AUG2026,1801,False
65588,NIFTY04AUG2623450CE,04AUG2026,1801,False
65679,NIFTY04AUG2623650PE,04AUG2026,1801,False
65689,NIFTY04AUG2623900CE,04AUG2026,1801,False
65700,NIFTY04AUG2624150PE,04AUG2026,1801,False
65852,NIFTY04AUG2624350CE,04AUG2026,1801,False
65853,NIFTY04AUG2624350PE,04AUG2026,1801,False
65861,NIFTY04AUG2624500PE,04AUG2026,1801,False
65888,NIFTY29SEP2618000PE,29SEP2026,1801,False
65903,NIFTY29SEP2625000PE,29SEP2026,1801,False
65911,NIFTY04AUG2624850PE,04AUG2026,1801,False
66060,NIFTY04AUG2626100CE,04AUG2026,1801,False
66077,NIFTY04AUG2626450PE,04AUG2026,1801,False
66081,NIFTY04AUG2626550PE,04AUG2026,1801,False
66082,NIFTY04AUG2626600CE,04AUG2026,1801,False
66092,NIFTY04AUG2626850CE,04AUG2026,1801,False
58645,NIFTY29DEC2620000PE,29DEC2026,1801,False
58648,NIFTY29DEC2622000CE,29DEC2026,1801,False
67770,NIFTY26DEC2818000CE,26DEC2028,1801,False
67781,NIFTY26DEC2823000PE,26DEC2028,1801,False
50981,NIFTY29JUN2727000CE,29JUN2027,1801,False
51331,NIFTY27OCT2622500PE,27OCT2026,1801,False
51338,NIFTY27OCT2622650CE,27OCT2026,1801,False
51343,NIFTY27OCT2622750PE,27OCT2026,1801,False
51344,NIFTY27OCT2622800CE,27OCT2026,1801,False
51345,NIFTY27OCT2622800PE,27OCT2026,1801,False
51350,NIFTY27OCT2622950CE,27OCT2026,1801,False
51358,NIFTY27OCT2623150CE,27OCT2026,1801,False
51380,NIFTY27OCT2623700CE,27OCT2026,1801,False
51404,NIFTY27OCT2624250CE,27OCT2026,1801,False
51408,NIFTY27OCT2624350CE,27OCT2026,1801,False
51431,NIFTY27OCT2624800PE,27OCT2026,1801,False
51446,NIFTY27OCT2625150CE,27OCT2026,1801,False
51469,NIFTY27OCT2625500PE,27OCT2026,1801,False
51473,NIFTY27OCT2625600PE,27OCT2026,1801,False
51485,NIFTY27OCT2625850PE,27OCT2026,1801,False
51488,NIFTY27OCT2625950CE,27OCT2026,1801,False
51490,NIFTY27OCT2626000CE,27OCT2026,1801,False
51498,NIFTY27OCT2626200CE,27OCT2026,1801,False
51504,NIFTY27OCT2626350CE,27OCT2026,1801,False
51509,NIFTY27OCT2626450PE,27OCT2026,1801,False
51522,NIFTY27OCT2626800CE,27OCT2026,1801,False
51527,NIFTY27OCT2626900PE,27OCT2026,1801,False
51529,NIFTY27OCT2626950PE,27OCT2026,1801,False
51535,NIFTY27OCT2627050PE,27OCT2026,1801,False
51539,NIFTY27OCT2627150PE,27OCT2026,1801,False
51541,NIFTY27OCT2627200PE,27OCT2026,1801,False
53617,NIFTY28DEC2722000PE,28DEC2027,1801,False
53624,NIFTY28DEC2724000CE,28DEC2027,1801,False
55322,NIFTY29DEC2616500CE,29DEC2026,1801,False
55324,NIFTY29DEC2619500CE,29DEC2026,1801,False
55331,NIFTY29DEC2628500PE,29DEC2026,1801,False
55374,NIFTY29JUN2722500CE,29JUN2027,1801,False
55379,NIFTY29JUN2728500PE,29JUN2027,1801,False
55423,NIFTY28DEC2719500PE,28DEC2027,1801,False
55468,NIFTY27JUN2816500CE,27JUN2028,1801,False
55476,NIFTY27JUN2825500CE,27JUN2028,1801,False
55480,NIFTY27JUN2831500CE,27JUN2028,1801,False
55516,NIFTY26DEC2816500CE,26DEC2028,1801,False
55518,NIFTY26DEC2819500CE,26DEC2028,1801,False
55605,NIFTY24DEC2925500PE,24DEC2029,1801,False
55699,NIFTY31DEC3018000PE,31DEC2030,1801,False
55760,NIFTY31DEC3028500CE,31DEC2030,1801,False
