2026-07-25 10:16:55,412 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | Heartbeat send failed (attempt 2/3): HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E98D26ABE0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-07-25 10:17:01,437 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | Heartbeat send failed (attempt 3/3): HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E98D26A690>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-07-25 10:17:01,437 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | All heartbeat retries failed for sample_mean_reversion
2026-07-25 10:17:33,445 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | Heartbeat send failed (attempt 1/3): HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E98D26AAD0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-07-25 10:17:37,473 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | Heartbeat send failed (attempt 2/3): HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E98D269150>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-07-25 10:17:43,490 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | Heartbeat send failed (attempt 3/3): HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E98D269D00>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-07-25 10:17:43,491 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | All heartbeat retries failed for sample_mean_reversion
2026-07-25 10:18:15,508 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | Heartbeat send failed (attempt 1/3): HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E98D269260>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-07-25 10:18:19,523 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | Heartbeat send failed (attempt 2/3): HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E98D2698C0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-07-25 10:18:25,540 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | Heartbeat send failed (attempt 3/3): HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E98D2696A0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-07-25 10:18:25,540 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | All heartbeat retries failed for sample_mean_reversion
2026-07-25 10:18:57,575 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | Heartbeat send failed (attempt 1/3): HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E98D269480>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-07-25 10:19:01,582 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | Heartbeat send failed (attempt 2/3): HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E98D269F20>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-07-25 10:19:07,604 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | Heartbeat send failed (attempt 3/3): HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E98D269E10>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-07-25 10:19:07,604 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | All heartbeat retries failed for sample_mean_reversion
2026-07-25 10:19:39,624 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | Heartbeat send failed (attempt 1/3): HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E98D26A140>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-07-25 10:19:43,630 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | Heartbeat send failed (attempt 2/3): HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E98D2699D0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-07-25 10:19:49,665 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | Heartbeat send failed (attempt 3/3): HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /update_strategy (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001E98D2697B0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2026-07-25 10:19:49,666 | ERROR    | strategy_heartbeat.sample_mean_reversion.ec2-ap-south-1a-i-01 | All heartbeat retries failed for sample_mean_reversion
